from,to,proximity
6114,6211,0.566037735849057
6203,6211,0.69811320754717
6204,6211,0.679245283018868
6205,6211,0.660377358490566
6206,6211,0.679245283018868
6210,6211,0.584905660377359
6108,6212,0.6
4202,6214,0.6
6116,6216,0.555555555555556
6106,6305,0.576923076923077
6109,6305,0.576923076923077
6108,6307,0.566666666666667
4203,6403,0.55
6112,6403,0.552631578947369
6201,6403,0.594594594594595
6208,6403,0.555555555555556
6209,6403,0.555555555555556
6403,6404,0.555555555555556
6102,6405,0.553191489361702
6104,6405,0.555555555555556
6110,6405,0.555555555555556
6112,6405,0.555555555555556
6211,6405,0.566037735849057
4202,6505,0.576923076923077
6117,6505,0.592592592592593
6216,6505,0.555555555555556
2515,6801,0.607142857142857
2515,6802,0.655172413793103
6801,6802,0.586206896551724
3820,6806,0.633333333333333
4005,6905,0.56
4008,6905,0.571428571428571
3818,7006,0.6
7007,7008,0.551724137931035
2843,7107,0.555555555555556
7208,7209,0.576923076923077
7208,7210,0.571428571428571
7213,7217,0.558823529411765
3914,7220,0.555555555555556
7219,7220,0.555555555555556
6804,7222,0.55
7220,7222,0.555555555555556
3911,7225,0.615384615384615
5910,7226,0.611111111111111
7224,7226,0.588235294117647
7224,7227,0.6
5910,7302,0.555555555555556
1601,7308,0.568181818181818
3208,7308,0.590909090909091
3214,7308,0.558139534883721
3920,7308,0.558139534883721
3921,7308,0.558139534883721
3922,7308,0.558139534883721
3925,7308,0.604651162790698
4818,7308,0.588235294117647
4822,7308,0.651162790697675
7308,7309,0.590909090909091
1601,7310,0.5625
2106,7310,0.564516129032258
3209,7310,0.645833333333333
3402,7310,0.583333333333333
4819,7310,0.563636363636364
4821,7310,0.571428571428571
5503,7312,0.56
0401,7314,0.55
1601,7314,0.568181818181818
2105,7314,0.568181818181818
3925,7314,0.6
4417,7314,0.55
4822,7314,0.55
6810,7314,0.55
6815,7320,0.583333333333333
3820,7322,0.555555555555556
4005,7322,0.6
3922,7325,0.5625
4008,7325,0.5625
3214,7326,0.567567567567568
3922,7326,0.567567567567568
3925,7326,0.552631578947369
4016,7326,0.621621621621622
7307,7326,0.594594594594595
7308,7326,0.674418604651163
7325,7326,0.648648648648649
7401,7402,0.5625
7204,7404,0.62037037037037
