country_code,year,region,export_value,import_value,diversity,diversity_075,hhi,entropy,primary_share,manufacturing_share,eci,diversity_complexity
BOL,2011,Latin America and Caribbean,7618414082,7064374082,77,90,0.233268149439552,2.45678254876635,0.837692543396724,0.162307456603276,-0.828570940212735,77
BOL,2012,Latin America and Caribbean,10404623321,7529837246,83,94,0.23162802775331,2.54473634595982,0.774809252222424,0.225190747777576,-0.494888492154495,83
BOL,2013,Latin America and Caribbean,12203867432,8518148669,79,90,0.300230393391687,2.29944623882336,0.864221143647048,0.135778856352952,-0.960988339644191,79
BOL,2014,Latin America and Caribbean,12391236374,8880477354,67,76,0.270455806047215,2.29219256619865,0.81065316904752,0.18934683095248,-1.26105584990968,67
BOL,2015,Latin America and Caribbean,8431791232,7759441212,73,82,0.243280986304995,2.46385020095005,0.803567579008104,0.196432420991896,-1.14675977528187,73
BOL,2016,Latin America and Caribbean,6848894137,6853464251,76,86,0.142775620893154,2.79096422969925,0.75583732168293,0.24416267831707,-1.11064940046327,76
BOL,2017,Latin America and Caribbean,7332030212,7454908852,71,84,0.169119097021895,2.60601467674634,0.73137447172865,0.26862552827135,-1.1072840489172,71
BOL,2018,Latin America and Caribbean,8408705848,7412267733,67,75,0.180831338824444,2.50481023009659,0.753820916034022,0.246179083965978,-1.16104086130686,67
BOL,2019,Latin America and Caribbean,8002569741,7130157154,72,82,0.174668209997861,2.53355462203527,0.688350400094314,0.311649599905686,-0.997843487812279,72
BOL,2020,Latin America and Caribbean,6680490758,5358494108,75,85,0.14965303227533,2.71842100974986,0.670981990601835,0.329018009398165,-0.958824798783088,75
BOL,2021,Latin America and Caribbean,9951880351,7108943429,74,84,0.128251945707222,2.76317055903338,0.635606220422897,0.364393779577103,-1.19596555620266,74
BOL,2022,Latin America and Caribbean,13085492768,8260765856,69,78,0.12955776213501,2.69993641166635,0.610866470275214,0.389133529724786,-1.17312021738977,69
BOL,2023,Latin America and Caribbean,10369618759,7878257145,82,95,0.124386325577729,2.81891118494917,0.62675317377114,0.37324682622886,-1.23580815913559,82
BRA,1995,Latin America and Caribbean,45906274411,49952315258,264,332,0.015838828558319,5.02876972445574,0.335104174568212,0.664895825431788,0.858501480581581,264
BRA,1996,Latin America and Caribbean,46981370914,52928306758,281,341,0.0156757619292345,5.05170500725704,0.351272693153409,0.648727306846591,0.803000946101705,281
BRA,1997,Latin America and Caribbean,50564125992,61260728642,279,336,0.017059203011627,4.97889194574021,0.357083588844326,0.642916411155675,0.886116399032391,279
BRA,1998,Latin America and Caribbean,49251906002,57910640493,268,331,0.0176448470824976,4.95094311862952,0.37175283139817,0.628247168601831,0.895222642705862,268
BRA,1999,Latin America and Caribbean,45939315441,48540303388,282,340,0.0171078019732669,4.96782728239153,0.364946565268955,0.635053434731045,0.900830819894592,282
BRA,2000,Latin America and Caribbean,54328149124,57271534454,291,345,0.0173491590374072,4.97323506142388,0.309641261910184,0.690358738089816,0.845320309080906,291
BRA,2001,Latin America and Caribbean,57298615343,57522699436,271,324,0.0175180002099556,4.93971744528096,0.369569276713543,0.630430723286457,0.701891415309924,271
BRA,2002,Latin America and Caribbean,56397087198,49139301331,266,338,0.0170475224011784,4.93077829121269,0.391691258441152,0.608308741558848,0.798985181464176,266
BRA,2003,Latin America and Caribbean,70463786182,49327302936,278,343,0.016677157280862,4.94469022852253,0.396487409771585,0.603512590228415,0.616654015340679,278
BRA,2004,Latin America and Caribbean,95056030744,63258711001,286,342,0.016888216440033,4.9430238142531,0.395256868721836,0.604743131278164,0.590934737466326,286
BRA,2005,Latin America and Caribbean,116725344361,74311133220,288,349,0.0173654031889753,4.92149260565831,0.397349954672712,0.602650045327288,0.598627717147736,288
BRA,2006,Latin America and Caribbean,135960130589,90724100948,282,340,0.0191493982757679,4.85235885045335,0.417368874118977,0.582631125881023,0.558322721090037,282
BRA,2007,Latin America and Caribbean,158515871095,119899324274,265,330,0.0183363865753045,4.87281319547149,0.427823448904727,0.572176551095273,0.430306343129242,265
BRA,2008,Latin America and Caribbean,199481105642,169909824922,233,304,0.0237997548648677,4.69860653370351,0.470691964904725,0.529308035095275,0.29689599466256,233
BRA,2009,Latin America and Caribbean,152124737043,125745571863,234,296,0.028449613493841,4.6128410963814,0.543462666453984,0.456537333546016,0.210785414214703,234
BRA,2010,Latin America and Caribbean,196282780007,179930018025,217,271,0.0418269916056452,4.39248470835481,0.566545226850945,0.433454773149055,0.307778364702155,217
BRA,2011,Latin America and Caribbean,244515194046,223483289088,207,268,0.0471822710066811,4.29931779611614,0.590794385267623,0.409205614732378,0.148956406931699,207
BRA,2012,Latin America and Caribbean,233373183781,225339433597,199,262,0.0389916075660988,4.37592007529168,0.583179507379547,0.416820492620453,0.122286772201612,199
BRA,2013,Latin America and Caribbean,220691415682,232642691911,196,266,0.0414765472019818,4.34104284263383,0.589515883963815,0.410484116036185,0.0956327962688784,196
BRA,2014,Latin America and Caribbean,213559682521,222189160425,202,256,0.0393906288523896,4.36733413070707,0.585787506608128,0.414212493391872,0.124610685501357,202
BRA,2015,Latin America and Caribbean,182012540464,162895844576,217,271,0.0319549010746045,4.50779598923352,0.550144680480438,0.449855319519562,0.188950538542649,217
BRA,2016,Latin America and Caribbean,175419517611,136657575520,218,273,0.0315762045401394,4.50892140966302,0.53452475726179,0.46547524273821,0.10912678149306,218
BRA,2017,Latin America and Caribbean,206827617399,160926364686,201,256,0.0382531984167173,4.36268476622797,0.557791715375424,0.442208284624576,0.13901090747277,201
BRA,2018,Latin America and Caribbean,223355786664,176719601387,199,248,0.04658949929925,4.24228321359724,0.575159593640856,0.424840406359144,0.0328688195985283,199
BRA,2019,Latin America and Caribbean,214264042418,176912261803,197,247,0.0448662539771983,4.22515876265839,0.603422461920929,0.396577538079071,-0.0317333798161405,197
BRA,2020,Latin America and Caribbean,205213073839,158273220987,196,248,0.0514481818454082,4.10264040055768,0.647945082813384,0.352054917186616,-0.154802949391457,196
BRA,2021,Latin America and Caribbean,281021767877,222836759135,189,238,0.0608846074459992,4.00387162668857,0.650611155076162,0.349388844923838,-0.210791177414932,189
