country_code,year,region,export_value,import_value,diversity,diversity_075,hhi,entropy,primary_share,manufacturing_share,eci,diversity_complexity
URY,1998,Latin America and Caribbean,2962073058,4333304095,183,209,0.0287768177916531,4.44036252661106,0.520981574992604,0.479018425007396,0.33425151321112,183
URY,1999,Latin America and Caribbean,2367653652,3806636547,183,215,0.0274635920071006,4.45659823237378,0.507078457183061,0.492921542816939,0.33723539793835,183
URY,2000,Latin America and Caribbean,2492373764,4152102418,177,212,0.0291878207681005,4.38566780097152,0.466104279293802,0.533895720706198,0.323163545224125,177
URY,2001,Latin America and Caribbean,2161276431,3604101171,181,205,0.0302478858125756,4.38061346372946,0.46159495504164,0.538405044958361,0.339512988388164,181
URY,2002,Latin America and Caribbean,2037372144,2223388375,170,199,0.0334139348579539,4.22323462899086,0.466898384176593,0.533101615823408,0.263850335286616,170
URY,2003,Latin America and Caribbean,2374752661,2628944791,172,205,0.0359946230007754,4.17423326454494,0.509465182572123,0.490534817427877,0.0164980547992477,172
URY,2004,Latin America and Caribbean,3155057357,3670292176,169,199,0.0395620249082902,4.16044247267908,0.562228854592579,0.437771145407421,0.0790978742075534,169
URY,2005,Latin America and Caribbean,3872071335,4246251897,200,228,0.0358174622487943,4.32495714605883,0.537305207730632,0.462694792269368,0.199538254124192,200
URY,2006,Latin America and Caribbean,4208982823,5278526149,178,212,0.0413377366844958,4.17536213760791,0.549802989062947,0.450197010937053,0.0841448448466734,178
URY,2007,Latin America and Caribbean,4843024977,6263052551,179,206,0.0299370634933719,4.35412967815064,0.536425160997058,0.463574839002942,0.0943522832930582,179
URY,2008,Latin America and Caribbean,6263628876,8737176644,168,189,0.035933450088134,4.17459638075132,0.550019534075601,0.449980465924399,0.188204199341623,168
URY,2009,Latin America and Caribbean,5541581115,6840796984,155,186,0.0372088877477963,4.1589560082838,0.566059218461878,0.433940781538122,0.188585843479411,155
URY,2010,Latin America and Caribbean,7066422963,9111546507,154,183,0.0331569804650932,4.17522715630108,0.546351225112761,0.453648774887239,0.152970584181601,154
URY,2011,Latin America and Caribbean,8172476286,11554791891,159,179,0.0318834101540067,4.1904414805857,0.530865806050991,0.469134193949009,0.119114575997759,159
URY,2012,Latin America and Caribbean,8927380266,13028310592,149,181,0.035630011334806,4.1031048417241,0.555575089580261,0.44442491041974,0.135062305874691,149
URY,2013,Latin America and Caribbean,9128450586,13550209268,145,164,0.0396848824900339,4.01904536289961,0.565975601590445,0.434024398409555,0.126457422666291,145
URY,2014,Latin America and Caribbean,9077247162,13890750398,142,156,0.0377246318537873,4.02504202367834,0.556480458651193,0.443519541348807,0.0687038897020702,142
URY,2015,Latin America and Caribbean,7979515967,11633317035,130,153,0.0458903300564594,3.92646997249091,0.484334502240868,0.515665497759132,0.183712756766131,130
URY,2016,Latin America and Caribbean,7357933725,10341646191,125,146,0.0600154183322564,3.76509994968793,0.548581015657354,0.451418984342646,0.0519072829964296,125
URY,2017,Latin America and Caribbean,8403028230,11011183501,128,145,0.0596930117018319,3.73352081828609,0.57559107260074,0.42440892739926,0.0986599871811301,128
URY,2018,Latin America and Caribbean,8383435820,11677731293,130,142,0.0681412310632503,3.66531147470731,0.526542077112245,0.473457922887755,-0.0260110399741742,130
URY,2019,Latin America and Caribbean,8189051418,10855510088,131,145,0.0722485483969078,3.61888081614678,0.556204265122615,0.443795734877385,0.00949611108695796,131
URY,2020,Latin America and Caribbean,7218713395,8915881118,128,143,0.0668410454556494,3.66151407044262,0.607602392004926,0.392397607995074,-0.233872142458067,128
URY,2021,Latin America and Caribbean,10131883145,12680917040,119,135,0.0669458015086652,3.62721673416628,0.604467695131516,0.395532304868485,-0.0745780940361272,119
URY,2022,Latin America and Caribbean,12270172826,15007897195,111,133,0.0674367803564936,3.57812975230891,0.552184545407804,0.447815454592196,-0.0842145280526177,111
URY,2023,Latin America and Caribbean,9607805313,14838620158,118,143,0.0651972187839122,3.67262858842833,0.560869298705366,0.439130701294634,0.124830137641365,118
USA,1995,Rest of world,581307735166,733997592516,429,589,0.0120984655907394,5.4822149727985,0.129608867483047,0.870391132516953,1.77072982402905,429
USA,1996,Rest of world,613227058536,778237850117,438,600,0.0124890874161626,5.45041168125045,0.130472862242922,0.869527137757078,1.68450084022315,438
USA,1997,Rest of world,678564370386,840215666740,447,623,0.0128798554006319,5.44291413917089,0.11388853422121,0.88611146577879,1.78282759764233,447
USA,1998,Rest of world,679281798876,880382681914,451,626,0.0138963838378661,5.40572802272044,0.10241495200536,0.89758504799464,1.7451458106806,451
USA,1999,Rest of world,685083295381,968130881570,464,629,0.0148437243947116,5.3612662203909,0.0972651604837949,0.902734839516205,1.83736068633074,464
USA,2000,Rest of world,771522471883,1135768968528,486,656,0.0148486984760237,5.3543503137691,0.0921321053416827,0.907867894658317,1.65817106021601,486
USA,2001,Rest of world,717576806969,1054082600466,485,646,0.0135881008979928,5.39266107898694,0.0987351451899153,0.901264854810085,1.68107289791641,485
USA,2002,Rest of world,688662385707,1100416333162,496,660,0.0135437497582188,5.40311782769886,0.10060641996422,0.89939358003578,1.75931675074956,496
USA,2003,Rest of world,714172449452,1194149219440,500,649,0.0129115633530807,5.42396650537963,0.106504030949898,0.893495969050102,1.69814510406542,500
USA,2004,Rest of world,800785339290,1398947299398,495,649,0.0169146281067115,5.33911982751997,0.100840479215812,0.899159520784188,1.68693723392078,495
USA,2005,Rest of world,876844446581,1580485666647,504,661,0.0170426398489382,5.34227604890738,0.104569842841024,0.895430157158976,1.57221120283496,504
USA,2006,Rest of world,1002388909018,1737178455789,498,662,0.0118766746759086,5.43268067567953,0.109115424854562,0.890884575145438,1.44264193912276,498
USA,2007,Rest of world,1107404103048,1817091061491,460,621,0.0117847341035994,5.41178918536878,0.122040746042948,0.877959253957052,1.38823131594888,460
USA,2008,Rest of world,1242026976753,1935566220099,486,622,0.0114764761643144,5.41515922337066,0.157488358627576,0.842511641372424,1.38685648528427,486
USA,2009,Rest of world,1016494769927,1435326619792,466,609,0.0168956496835259,5.32883954190924,0.150237357468123,0.849762642531877,1.38142515737961,466
USA,2010,Rest of world,1222173839717,1766377318218,475,627,0.0156266199180798,5.34711715631966,0.15994856875047,0.84005143124953,1.55947917241308,475
USA,2011,Rest of world,1440228134295,2032566889113,469,617,0.0162465246481034,5.30848277615501,0.187258289609803,0.812741710390197,1.49071941416801,469
USA,2012,Rest of world,1503829054048,2072705328798,459,623,0.0180108946886438,5.26789410756226,0.186007853667969,0.813992146332032,1.31111143089071,459
