product_code,product_section,product_chapter,world_export_value,pci_final,ubiquity,product_name,product_name_short,natural_resource,demand_growth,density,opportunity_gain,world_market_size,density_n,pci_n,opportunity_gain_n,world_market_n,demand_growth_n,opportunity_score,distance,opportunity_type
3909,Plastics and rubber,39,18463160558,1.20025858591336,22,"Amino-resins, phenolic resins and polyurethanes, in primary forms",Amino-resins,FALSE,0.0119844121374795,0.0453024915146889,136.39049578931,18463160558,0.21152728273692,0.661956699855584,0.910586945741359,0.786468053188495,0.644179275469546,0.564705845935894,0.954697508485311,Long shots
3810,Chemicals,38,1872159042,1.92244219132131,15,"Pickling preparations for metal surfaces; fluxes and other auxiliary preparations for soldering, brazing or welding; soldering, brazing or welding powders and pastes consisting of metal and other materials; preparations of a kind used as cores or coatings for welding electrodes or rods:",Pickling preparations for metal surfaces,FALSE,0.0286918102280944,0.0411781664897573,131.169156432217,1872159042,0.177854559734833,0.776752542478939,0.874654027674822,0.667876800243204,0.658991827978213,0.564054899884033,0.958821833510243,Long shots
4005,Plastics and rubber,40,6425181512,1.12003194809193,24,"Compounded rubber, unvulcanized, in primary forms or in plates, sheets or strip",Compounded rubber,FALSE,0.0198326707777607,0.0510372837910274,129.791534416455,6425181512,0.258348537276349,0.649204147152111,0.865173322508281,0.731773198406411,0.651137435117162,0.564048752688763,0.948962716208973,Long shots
4008,Plastics and rubber,40,4524713749,1.00916824652068,28,"Plates, sheets, strip, rods and profile shapes, of vulcanized rubber other than hard rubber",Vulcanized rubber plates,FALSE,0.0169250494008883,0.049682920964986,136.994695036777,4524713749,0.247290949911159,0.631581631294767,0.914745005689255,0.713602738028677,0.648559577446766,0.563612472977993,0.950317079035014,Long shots
8433,Machinery and electrical,84,27785365777,1.0282059904972,29,"Harvesting or threshing machinery, including straw or fodder balers; grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading 8437; parts thereof",Harvesting or agricultural machinery,FALSE,0.0677174028944558,0.052632907131645,120.025326008692,27785365777,0.271375876886949,0.634607806141533,0.797962911053183,0.807647046125944,0.693591389047933,0.56334993417384,0.947367092868355,Long shots
8432,Machinery and electrical,84,10982437735,0.743273200994577,28,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports ground rollers; parts thereof",Machinery for soil preparation or cultivation,FALSE,0.0699604615397576,0.0566624431788316,122.836501740308,10982437735,0.304274702833891,0.589315861797961,0.817309239710713,0.759550508232614,0.695580054415415,0.562800015648298,0.943337556821168,Long shots
5911,Textiles and apparel,59,5309055081,1.20768150815627,28,"Textile products and articles, for technical uses, specified in note 7 to this chapter",Textile articles for technical use,FALSE,0.0118206879143941,0.0483275379133886,132.552430138838,5309055081,0.23622503299572,0.663136622256511,0.88417362741049,0.721886072761814,0.644034119794303,0.56188966185034,0.951672462086611,Long shots
4016,Plastics and rubber,40,29782327632,1.00235121296487,32,Other articles of vulcanized rubber other than hard rubber,Other articles of vulcanized rubber,FALSE,0.0275880345444763,0.0521770511266298,122.912890762341,29782327632,0.267654076860781,0.630498018892919,0.817834943995028,0.81124339522732,0.658013235430008,0.561796083489242,0.94782294887337,Long shots
8475,Machinery and electrical,84,4767622279,1.74826468448781,16,"Machines for assembling electric or electronic lamps, tubes or flashbulbs, in glass envelopes; machines for manufacturing or hot working glass or glassware; parts thereof",Machines for assembling electric lamps,FALSE,0.0134268529456989,0.0414335478792157,131.250580751296,4767622279,0.17993960073794,0.749065880093836,0.875214384546108,0.716312389444265,0.645458123923178,0.561465258527704,0.958566452120784,Long shots
8414,Machinery and electrical,84,86847746336,1.49344428895028,23,"Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters; parts thereof","Pumps, compressors, fans, etc.",FALSE,0.0400063029961373,0.0419691908937323,124.846593339359,86847746336,0.184312815445023,0.708560499184748,0.831142559438693,0.866699370389412,0.669023103783494,0.561450369506974,0.958030809106268,Long shots
8421,Machinery and electrical,84,86202641159,1.08313756133743,27,"Centrifuges, including centrifugal dryers; filtering or purifying machinery and apparatus, for liquids or gases; parts thereof",Centrifuges,FALSE,0.0638792878685728,0.0494301578994518,119.424889361324,86202641159,0.24522728600508,0.643339541276487,0.793830745074604,0.86631304204298,0.690188568330616,0.56108074547318,0.950569842100548,Long shots
9027,Instruments,90,50979402364,1.63389120885762,27,"Instruments and apparatus for physical or chemical analysis (for example, polarimeters,refractometers, spectrometers, gas or smoke analysis apparatus); instruments and apparatus for measuring or checking viscosity, porosity, expansion, surface tension or",Instruments for physical or chemical analysis,FALSE,0.0385965520970717,0.0434036859196819,118.972311848499,50979402364,0.196024635770695,0.730885462523552,0.790716136049041,0.839095006802962,0.667773237759874,0.560160039816723,0.956596314080318,Long shots
8207,Metals,82,21963376886,1.96135649544845,20,"Interchangeable tools for hand tools, whether or not power-operated, or for machine-tools (for example, for pressing, stamping, punching, tapping, threading, drilling,boring, broaching, milling, turning or screw driving), including dies for drawing or ext",Interchangeable tools for hand tools,FALSE,-0.00981014010830494,0.0361696692051116,130.590027766928,21963376886,0.136963082777248,0.782938227530393,0.870668501843879,0.795463313170397,0.624856521094948,0.559837319649946,0.963830330794888,Long shots
2914,Chemicals,29,5701637128,1.5569685651751,19,"Ketones and quinones, whether or not with other oxygen function, and their halogenated, sulfonated, nitrated, or nitrosated derivatives",Ketones and quinones,FALSE,-0.0213888222582002,0.0402446731717849,139.21661687971,5701637128,0.170233127929539,0.718658101458822,0.930036127386584,0.725582622540631,0.614591018567488,0.559270709728173,0.959755326828215,Long shots
3906,Plastics and rubber,39,16774014087,1.45590372382388,23,Acrylic polymers in primary forms,Acrylic polymers,FALSE,0.0107492056791201,0.047350306618071,121.219259504695,16774014087,0.228246505959833,0.702593178999173,0.806179483766565,0.781496457170903,0.643084158179334,0.559228530124072,0.952649693381929,Long shots
8485,Machinery and electrical,84,13109012019,1.34185599305604,29,"Machinery parts, not containing electrical connectors, insulators, coils, contacts or other electrical features, not specified or included elsewhere in this Chapter.","Machinery parts, not containing electrical features, n.e.c.",FALSE,0.04809699182751,0.0435788676126695,129.927288825409,13109012019,0.197454892743011,0.684464540721127,0.866107575526614,0.768722127828235,0.676196198749928,0.557938695403475,0.956421132387331,Long shots
8701,Transport equipment,87,83431283858,0.789110167242966,21,Tractors (other than tractors of heading 8709),Tractors,FALSE,0.0876854055567273,0.0495426273701096,123.623317843624,83431283858,0.246145534035669,0.596601949607736,0.822724056990402,0.864619815507222,0.711294749339219,0.557437692197143,0.95045737262989,Long shots
7320,Metals,73,7416579030,0.979067226130739,23,"Springs and leaves for springs, of iron or steel",Springs of iron or steel,FALSE,0.0125587764769315,0.0489941460417889,132.795086685961,7416579030,0.241667501938607,0.626796875764995,0.885843573995022,0.739208479639302,0.644688499101562,0.556841257292852,0.951005853958211,Long shots
