"product_code","year","product_section","product_chapter","world_export_value","ubiquity","source_pci","pci","ubiquity_complexity","pci_final"
"0910","2023","Vegetable products","09","3236781853","54","-1.565","-1.51797308577165","54","-1.51797308577165"
"1001","2023","Vegetable products","10","57201225641","25","-0.161","-0.199450606022009","25","-0.199450606022009"
"1002","2023","Vegetable products","10","402082581","15","0.417","0.392842530254392","15","0.392842530254392"
"1003","2023","Vegetable products","10","10215836423","21","0.187","0.0653686123559834","21","0.0653686123559834"
"1004","2023","Vegetable products","10","1152878874","16","0.1","0.0101379733984892","16","0.0101379733984892"
"1005","2023","Vegetable products","10","51130629027","24","-1.076","-1.05263062767728","24","-1.05263062767728"
"1006","2023","Vegetable products","10","31350178319","25","-1.666","-1.71377203952005","25","-1.71377203952005"
"1007","2023","Vegetable products","10","2517961595","11","-1.951","-2.14065598027958","11","-2.14065598027958"
"1008","2023","Vegetable products","10","1106835223","43","-1.522","-1.69161996762458","43","-1.69161996762458"
"1101","2023","Vegetable products","11","6502297668","62","-1.18","-1.19769667325863","62","-1.19769667325863"
"1102","2023","Vegetable products","11","1376247608","50","-1.575","-1.56202255524822","50","-1.56202255524822"
"1103","2023","Vegetable products","11","1474802319","49","-0.97","-0.94625107545867","49","-0.94625107545867"
"1104","2023","Vegetable products","11","2507631847","47","-0.845","-0.863103259257169","47","-0.863103259257169"
"1105","2023","Vegetable products","11","1170563102","17","-0.03","-0.0610305067479398","17","-0.0610305067479398"
"1106","2023","Vegetable products","11","884130475","49","-1.566","-1.53565236255806","49","-1.53565236255806"
"1107","2023","Vegetable products","11","5168692300","31","-0.1","-0.222342973199187","31","-0.222342973199187"
"1108","2023","Vegetable products","11","6029961983","31","-0.782","-0.679342333730956","31","-0.679342333730956"
"1109","2023","Vegetable products","11","1979055126","15","0.502","0.319299143760223","15","0.319299143760223"
"1201","2023","Vegetable products","12","89745582722","16","-2.003","-2.15940471539611","16","-2.15940471539611"
"1202","2023","Vegetable products","12","4141209554","30","-2.046","-2.2610024840697","30","-2.2610024840697"
"1203","2023","Vegetable products","12","88727281","17","-1.753","-1.9376161138246","17","-1.9376161138246"
"1204","2023","Vegetable products","12","1279612664","10","-0.685","-0.814683090928989","10","-0.814683090928989"
"1205","2023","Vegetable products","12","13462336596","19","0.021","-0.163116598844597","19","-0.163116598844597"
"1206","2023","Vegetable products","12","4917206156","19","-0.283","-0.260081524836353","19","-0.260081524836353"
"1207","2023","Vegetable products","12","6566752340","64","-2.014","-2.18927527277869","64","-2.18927527277869"
"1208","2023","Vegetable products","12","2347550527","20","-2.194","-2.43214361664962","20","-2.43214361664962"
"1209","2023","Vegetable products","12","8308244600","36","-0.824","-0.882926054925701","36","-0.882926054925701"
"1210","2023","Vegetable products","12","693692383","12","0.716","0.599717491622928","12","0.599717491622928"
"1211","2023","Vegetable products","12","3995346937","71","-1.709","-1.72947206893054","71","-1.72947206893054"
"1212","2023","Vegetable products","12","1448210867","54","-1.672","-1.68337143579991","54","-1.68337143579991"
"1213","2023","Vegetable products","12","432614982","24","-0.46","-0.572050174678956","24","-0.572050174678956"
"1214","2023","Vegetable products","12","3266236643","20","-0.871","-1.04009235820082","20","-1.04009235820082"
"1301","2023","Vegetable products","13","977338831","37","-2.393","-2.65108139162644","37","-2.65108139162644"
"1302","2023","Vegetable products","13","8051521876","36","-1.274","-1.20459800785209","36","-1.20459800785209"
"1401","2023","Vegetable products","14","191546523","34","-1.116","-1.12563158159856","34","-1.12563158159856"
"1404","2023","Vegetable products","14","1527824842","40","-2.013","-1.941391960471","40","-1.941391960471"
"1501","2023","Fats and oils","15","820300430","26","0.169","0.146540673810987","26","0.146540673810987"
"1502","2023","Fats and oils","15","2750515073","15","-0.944","-1.29950298542985","15","-1.29950298542985"
"1503","2023","Fats and oils","15","135689675","13","-0.18","-0.39706980747589","13","-0.39706980747589"
"1504","2023","Fats and oils","15","3876685110","34","-1.421","-1.63385293961045","34","-1.63385293961045"
"1505","2023","Fats and oils","15","224090117","17","0.151","-0.0386158113929168","17","-0.0386158113929168"
"1506","2023","Fats and oils","15","481706476","14","0.353","0.280808912852769","14","0.280808912852769"
"1507","2023","Fats and oils","15","12109159170","33","-1.309","-1.39633554868896","33","-1.39633554868896"
"1508","2023","Fats and oils","15","677524825","10","-1.526","-1.6823434858266","10","-1.6823434858266"
"1509","2023","Fats and oils","15","10716548097","16","-0.895","-0.731410279267652","16","-0.731410279267652"
"1510","2023","Fats and oils","15","731964647","12","-0.873","-0.692009679635183","12","-0.692009679635183"
"1511","2023","Fats and oils","15","41735166477","27","-1.893","-2.0268416641085","27","-2.0268416641085"
"1512","2023","Fats and oils","15","16720756096","30","-0.569","-0.688060362697448","30","-0.688060362697448"
"1513","2023","Fats and oils","15","5556580928","32","-1.228","-1.27534197841626","32","-1.27534197841626"
"1514","2023","Fats and oils","15","13324984634","20","0.215","0.166618434365513","20","0.166618434365513"
"1515","2023","Fats and oils","15","4886431121","52","-0.975","-1.09092963661889","52","-1.09092963661889"
"1516","2023","Fats and oils","15","5605587860","32","-1.218","-1.1256700348464","32","-1.1256700348464"
"1517","2023","Fats and oils","15","8173104371","44","-0.859","-0.763684929321269","44","-0.763684929321269"
"1518","2023","Fats and oils","15","7843198994","35","-0.07","-0.0628079457472117","35","-0.0628079457472117"
"1519","2023","Fats and oils","15","11728467542","25","-0.976","-1.03494199684788","25","-1.03494199684788"
"1520","2023","Fats and oils","15","2516538832","22","-0.229","-0.249890996409373","22","-0.249890996409373"
"1521","2023","Fats and oils","15","292275322","32","-1.358","-1.31378766214159","32","-1.31378766214159"
"1522","2023","Fats and oils","15","431058932","15","-0.068","-0.0920092789550705","15","-0.0920092789550705"
"1601","2023","Foodstuffs","16","6684499309","44","0.177","0.175924355021962","44","0.175924355021962"
"1602","2023","Foodstuffs","16","19233364818","39","-0.095","-0.129195392444793","39","-0.129195392444793"
"1603","2023","Foodstuffs","16","252917969","15","-0.082","-0.259770819745723","15","-0.259770819745723"
"1604","2023","Foodstuffs","16","18643800751","45","-1.145","-1.10056107325036","45","-1.10056107325036"
"1605","2023","Foodstuffs","16","18317778204","48","-1.556","-1.48373534992978","48","-1.48373534992978"
"1701","2023","Foodstuffs","17","36380695478","53","-1.525","-1.45957630222342","53","-1.45957630222342"
"1702","2023","Foodstuffs","17","10185777841","22","0.019","0.0388491574557698","22","0.0388491574557698"
"1703","2023","Foodstuffs","17","1244289108","46","-1.586","-1.57718243031905","46","-1.57718243031905"
"1704","2023","Foodstuffs","17","15837302001","46","-0.581","-0.51672645519071","46","-0.51672645519071"
"1801","2023","Foodstuffs","18","7978619944","38","-2.482","-2.69609819723239","38","-2.69609819723239"
"1802","2023","Foodstuffs","18","556090865","4","-2.38","-2.6046158143528","4","-2.6046158143528"
"1803","2023","Foodstuffs","18","3905043226","17","-0.668","-0.737407662181117","17","-0.737407662181117"
"1804","2023","Foodstuffs","18","5184550717","20","-1.175","-1.24494550343051","20","-1.24494550343051"
"1805","2023","Foodstuffs","18","2998127127","20","-0.358","-0.405468566393561","20","-0.405468566393561"
"1806","2023","Foodstuffs","18","33946904247","42","0.292","0.296844925682269","42","0.296844925682269"
"1901","2023","Foodstuffs","19","24032095729","41","-0.296","-0.323751862802835","41","-0.323751862802835"
"1902","2023","Foodstuffs","19","14441442857","51","-0.934","-0.862787422371686","51","-0.862787422371686"
"1903","2023","Foodstuffs","19","212409692","19","-0.957","-1.0392447677463","19","-1.0392447677463"
"1904","2023","Foodstuffs","19","7947799838","50","-0.521","-0.496182312547758","50","-0.496182312547758"
"1905","2023","Foodstuffs","19","50214667802","60","-0.271","-0.201669392464295","60","-0.201669392464295"
"2001","2023","Foodstuffs","20","2528652376","41","-0.835","-0.757678099798017","41","-0.757678099798017"
"2002","2023","Foodstuffs","20","7313503905","26","-0.861","-0.842165923181593","26","-0.842165923181593"
"2003","2023","Foodstuffs","20","2044087663","8","0.25","0.277881803750772","8","0.277881803750772"
"2004","2023","Foodstuffs","20","13207581690","15","-0.172","-0.0932420047077394","15","-0.0932420047077394"
"2005","2023","Foodstuffs","20","12937955299","45","-0.892","-0.784470635342321","45","-0.784470635342321"
"2006","2023","Foodstuffs","20","841791435","19","-0.583","-0.460795167607679","19","-0.460795167607679"
"2007","2023","Foodstuffs","20","4076917154","49","-0.666","-0.526341028588735","49","-0.526341028588735"
"2008","2023","Foodstuffs","20","19435857761","63","-1.155","-1.08162064329229","63","-1.08162064329229"
"2009","2023","Foodstuffs","20","16023454664","62","-0.77","-0.749459435680335","62","-0.749459435680335"
"2101","2023","Foodstuffs","21","10031752920","38","-0.34","-0.328113746003977","38","-0.328113746003977"
"2102","2023","Foodstuffs","21","3084410903","43","-0.566","-0.514967719500319","43","-0.514967719500319"
"2103","2023","Foodstuffs","21","18111303573","50","-0.347","-0.246848217894683","50","-0.246848217894683"
"2104","2023","Foodstuffs","21","3928861736","39","-0.588","-0.577464703709086","39","-0.577464703709086"
"2105","2023","Foodstuffs","21","5477853540","44","-0.138","-0.0952127609681422","44","-0.0952127609681422"
"2106","2023","Foodstuffs","21","54971301868","62","0.113","0.109072563063153","62","0.109072563063153"
"2201","2023","Foodstuffs","22","4786558533","40","-0.573","-0.485965273270039","40","-0.485965273270039"
"2202","2023","Foodstuffs","22","25936727254","73","-0.719","-0.744332146294105","73","-0.744332146294105"
"2203","2023","Foodstuffs","22","16209240860","50","-0.715","-0.776802538699064","50","-0.776802538699064"
"2204","2023","Foodstuffs","22","36062463982","28","-0.376","-0.402730744680598","28","-0.402730744680598"
"2205","2023","Foodstuffs","22","729662399","18","-0.305","-0.371586720647836","18","-0.371586720647836"
"2206","2023","Foodstuffs","22","1646504584","43","-0.077","-0.10061523153531","43","-0.10061523153531"
"2207","2023","Foodstuffs","22","12821052995","31","-0.907","-0.944767523264635","31","-0.944767523264635"
"2208","2023","Foodstuffs","22","36883536921","57","-0.472","-0.497724642660789","57","-0.497724642660789"
"2209","2023","Foodstuffs","22","805093025","28","-0.033","0.0965332550412256","28","0.0965332550412256"
"2301","2023","Foodstuffs","23","8539863930","54","-1.458","-1.54067342730946","54","-1.54067342730946"
"2302","2023","Foodstuffs","23","3208520239","59","-2.07","-2.14541667632473","59","-2.14541667632473"
"2303","2023","Foodstuffs","23","6645446389","17","-0.039","-0.0530025561066848","17","-0.0530025561066848"
"2304","2023","Foodstuffs","23","31725287515","21","-1.647","-1.8566663940853","21","-1.8566663940853"
"2305","2023","Foodstuffs","23","83256672","8","-2.243","-2.47539290106062","8","-2.47539290106062"
"2306","2023","Foodstuffs","23","11575264348","37","-0.882","-1.03257598890874","37","-1.03257598890874"
"2307","2023","Foodstuffs","23","17662484","13","-0.237","-0.219875150960725","13","-0.219875150960725"
"2308","2023","Foodstuffs","23","1084793787","26","-0.902","-0.933826839289699","26","-0.933826839289699"
"2309","2023","Foodstuffs","23","42010498355","50","-0.311","-0.260725057295568","50","-0.260725057295568"
"2401","2023","Foodstuffs","24","10325086397","40","-1.553","-1.36899901623768","40","-1.36899901623768"
"2402","2023","Foodstuffs","24","25213605253","52","-0.887","-0.837435466086307","52","-0.837435466086307"
"2403","2023","Foodstuffs","24","10849648284","36","-0.496","-0.457361020255936","36","-0.457361020255936"
"2501","2023","Minerals","25","3581240479","47","-1.154","-1.17143490561786","47","-1.17143490561786"
"2502","2023","Minerals","25","100733343","15","-0.159","-0.118648749749796","15","-0.118648749749796"
"2503","2023","Minerals","25","3636313123","28","-1.421","-1.40971328304813","28","-1.40971328304813"
"2504","2023","Minerals","25","518580406","11","-1.3","-1.25649846010595","11","-1.25649846010595"
"2505","2023","Minerals","25","2371861625","38","-0.838","-0.796598601491279","38","-0.796598601491279"
"2506","2023","Minerals","25","1107116285","25","-1.375","-1.35453994754439","25","-1.35453994754439"
"2507","2023","Minerals","25","1497075293","20","0.001","-0.0398199751514275","20","-0.0398199751514275"
"2508","2023","Minerals","25","2193624066","36","-0.495","-0.510954593849474","36","-0.510954593849474"
"2509","2023","Minerals","25","104764024","25","-0.449","-0.347954881343447","25","-0.347954881343447"
"2510","2023","Minerals","25","4152679928","20","-1.417","-1.42876940577843","20","-1.42876940577843"
"2511","2023","Minerals","25","769480417","21","-1.473","-1.43498109243341","21","-1.43498109243341"
"2512","2023","Minerals","25","186802860","20","-0.257","-0.192324108438118","20","-0.192324108438118"
"2513","2023","Minerals","25","345884572","20","-0.914","-1.18651026206256","20","-1.18651026206256"
"2514","2023","Minerals","25","59846554","17","-0.307","-0.352625804423643","17","-0.352625804423643"
"2515","2023","Minerals","25","1765749933","28","-1.401","-1.31517754024139","28","-1.31517754024139"
"2516","2023","Minerals","25","1480112718","34","-1.629","-1.62987824927431","34","-1.62987824927431"
"2517","2023","Minerals","25","2870163065","55","-0.593","-0.605415564485794","55","-0.605415564485794"
"2518","2023","Minerals","25","480368404","25","-0.559","-0.642611828181668","25","-0.642611828181668"
"2519","2023","Minerals","25","1889933275","18","-0.541","-0.645564314410319","18","-0.645564314410319"
"2520","2023","Minerals","25","1402715075","35","-1.345","-1.28014214999863","35","-1.28014214999863"
"2521","2023","Minerals","25","897607733","25","-0.742","-0.830793402082847","25","-0.830793402082847"
"2522","2023","Minerals","25","1265094478","49","-0.519","-0.506848182437538","49","-0.506848182437538"
"2523","2023","Minerals","25","13593210944","76","-1.343","-1.33889994422197","76","-1.33889994422197"
"2524","2023","Minerals","25","455074896","5","-1.153","-1.52243204808812","5","-1.52243204808812"
"2525","2023","Minerals","25","192865294","21","-1.015","-1.10135581003979","21","-1.10135581003979"
