"product_code","product_name_short","product_section","product_chapter","pci_final","ubiquity","density","opportunity_score","relative_category"
"8458","Lathes for removing metal","Machinery and electrical","84","1.77022290754382","13","0.0382574005083448","0.549337904855919","Excluded from relative universe"
"8460","Machines with grinding stones for finishing metal","Machinery and electrical","84","1.58338263408472","14","0.0400109923178236","0.518088727688569","Excluded from relative universe"
"8461","Other machine tools for planing and cutting metals","Machinery and electrical","84","1.28558637171248","15","0.0340962633537786","0.496297751707433","Excluded from relative universe"
"8462","Machine tools for molding and forging metals","Machinery and electrical","84","1.41514207837479","21","0.0427124867871472","0.552204567754617","Transformational long shots"
"8463","Other machine tools for working metal, without removal","Machinery and electrical","84","1.40332026206774","16","0.0421348451273437","0.546584550828231","Transformational long shots"
"8464","Machine tools for working stone","Machinery and electrical","84","1.40488360784212","20","0.0409880693743686","0.55305795894007","Transformational long shots"
"8465","Machine tools for working wood","Machinery and electrical","84","1.14820659079491","22","0.041813152016693","0.528686904717224","Excluded from relative universe"
"8466","Parts and accessories for metal working machines","Machinery and electrical","84","1.8534138553019","24","0.0433575506867592","0.588206537478169","Excluded from relative universe"
"8475","Machines for assembling electric lamps","Machinery and electrical","84","1.74826468448781","16","0.0414335478792157","0.561465258527704","Excluded from relative universe"
"8476","Automatic goods-vending machines","Machinery and electrical","84","1.03213604629585","24","0.0447138727398642","0.525152454297308","Excluded from relative universe"
"8477","Machinery for working rubber or plastics","Machinery and electrical","84","1.70284821816458","16","0.0352604953114197","0.548511738541798","Transformational long shots"
"8480","Molding boxes for metal foundry","Machinery and electrical","84","1.47850683167007","14","0.0404422286067979","0.536998434433133","Transformational long shots"
"8481","Appliances for thermostatically controlled valves","Machinery and electrical","84","1.31128654720138","25","0.0440772034656588","0.581947276137615","Transformational long shots"
"8483","Transmission shafts","Machinery and electrical","84","1.5844376006897","25","0.0444343626160528","0.590049445031985","Excluded from relative universe"
"8485","Machinery parts, not containing electrical features, n.e.c.","Machinery and electrical","84","1.34185599305604","29","0.0435788676126695","0.557938695403475","Excluded from relative universe"
"8501","Electric motors and generators","Machinery and electrical","85","1.0892833757173","29","0.0446657983247465","0.552452983716942","Transformational long shots"
"8503","Parts for use with electric generators","Machinery and electrical","85","0.726760015254366","33","0.049564787513876","0.526868343828518","Excluded from relative universe"
"8510","Electric shavers and hair clippers","Machinery and electrical","85","0.983394169649996","10","0.0372736103106468","0.46484163889674","Middle-range candidates"
"8511","Electrical ignition equipment","Machinery and electrical","85","1.21810160958701","21","0.0475404564793161","0.555221146205114","Excluded from relative universe"
"8512","Electrical lighting equipment used for motor vehicles","Machinery and electrical","85","0.924356035764849","23","0.0481215921972278","0.542406205520816","Transformational long shots"
"8514","Industrial electric furnaces","Machinery and electrical","85","1.42960679005924","19","0.0401927666942373","0.574405895704143","Transformational long shots"
"8515","Electric soldering machines","Machinery and electrical","85","1.12668293177491","22","0.0446124806648206","0.548243894393332","Excluded from relative universe"
"8516","Electric heaters","Machinery and electrical","85","0.801919142110046","26","0.0524695102414808","0.547815477028721","Strategic bets"
"8530","Electric signal and traffic controls","Machinery and electrical","85","0.846202183705413","26","0.0535322735863817","0.539595173500644","Excluded from relative universe"
"8532","Electrical capacitors","Machinery and electrical","85","0.816928987375784","17","0.0352589854904967","0.455093777357678","Middle-range candidates"
"8537","Electrical boards","Machinery and electrical","85","0.974762619073259","39","0.054709916375663","0.530562505649376","Middle-range candidates"
"8541","Semiconductor devices","Machinery and electrical","85","0.718283886576233","16","0.0443390696877147","0.477302773959028","Middle-range candidates"
"8542","Electronic integrated circuits","Machinery and electrical","85","1.57130484573924","15","0.029737335869122","0.483293362149882","Middle-range candidates"
"8606","Railway cars, not self-propelled","Transport equipment","86","-0.102785792002555","26","0.0655598424824675","0.499391821763491","Middle-range candidates"
"8607","Parts of railway locomotives","Transport equipment","86","0.602374313866943","29","0.0544529012258219","0.540421133192796","Middle-range candidates"
"8608","Railway track fixtures","Transport equipment","86","0.637383315181615","29","0.0528902953004129","0.522272740626441","Middle-range candidates"
"8708","Parts of motor vehicles","Transport equipment","87","1.03630504143251","29","0.0532795348432311","0.585212413805596","Strategic bets"
"8711","Motorcycles","Transport equipment","87","0.342270550661982","24","0.0466519333176968","0.508320512329297","Middle-range candidates"
"8712","Bicycles","Transport equipment","87","0.600840606329012","25","0.0465477349944794","0.507184655492791","Middle-range candidates"
"8715","Baby carriages","Transport equipment","87","0.453228739706499","11","0.0398819390128939","0.439832635550965","Middle-range candidates"
"8716","Trailers and semi-trailers","Transport equipment","87","0.780297027013984","29","0.0528509417003629","0.549821690754201","Middle-range candidates"
"9011","Optical microscopes","Instruments","90","1.54229021797922","16","0.0351527658190726","0.49763983505158","Transformational long shots"
"9022","X-ray machines","Instruments","90","1.58738046979191","15","0.0373200993091735","0.533154761085948","Excluded from relative universe"
"9026","Instruments for measuring properties of liquids or gases","Instruments","90","1.39356044767775","24","0.0445407505130442","0.555366187654843","Transformational long shots"
"9027","Instruments for physical or chemical analysis","Instruments","90","1.63389120885762","27","0.0434036859196819","0.560160039816723","Transformational long shots"
"9028","Gas, liquid or electricity meters","Instruments","90","0.668347108091493","27","0.0492257488709216","0.500360218718606","Middle-range candidates"
"9032","Automatic regulating instruments","Instruments","90","1.38028348463739","25","0.0474595622250112","0.549972473693322","Transformational long shots"
"909","909","Unknown","","","","","","Network only"
"9101","Watches with precious metal","Instruments","91","0.762792391657445","19","0.0442874909023614","0.435822877698605","Middle-range candidates"
"9102","Watches","Instruments","91","0.848506236397873","18","0.0427408318897712","0.430930442679938","Middle-range candidates"
"9305","Parts of military weapons","Other manufactures","93","0.799086133027038","21","0.0531595587831063","0.533234144982029","Middle-range candidates"
"9401","Seats","Other manufactures","94","0.329235199996359","30","0.0558706719784178","0.500165764213247","Middle-range candidates"
"9402","Medical, dental or veterinary furniture","Other manufactures","94","0.902923263684171","23","0.0483710475181671","0.554310730187633","Transformational long shots"
"9403","Other furniture and parts","Other manufactures","94","0.369377934488442","36","0.0581796867585239","0.524711454145712","Middle-range candidates"
"9406","Prefabricated buildings","Other manufactures","94","0.144338160007411","41","0.0613090262462219","0.511071088237736","Middle-range candidates"
"9606","Buttons","Other manufactures","96","0.140073855131679","18","0.0450047347650251","0.438486007382406","Middle-range candidates"
"9610","Slates and boards, with writing or drawing surfaces","Other manufactures","96","0.601844667462359","11","0.0422758756409014","0.43578014380582","Middle-range candidates"
